Access_Point_Name,BSSID-MAC,SSID-2.4_and_5
wap-0563-116,44:12:44:6e:c2:d1,eduroam
wap-0563-117,44:12:44:6d:2e:20,IllinoisNet
wap-0563-117,44:12:44:6d:2e:22,IllinoisNet_Guest
wap-0563-117,44:12:44:6d:2e:21,eduroam
wap-0563-117,44:12:44:6d:2e:01,eduroam
wap-0563-117,44:12:44:6d:2e:00,IllinoisNet
wap-0563-117,44:12:44:6d:2e:02,IllinoisNet_Guest
wap-0563-118,44:12:44:6e:f5:02,IllinoisNet_Guest
wap-0563-118,44:12:44:6e:f5:01,eduroam
wap-0563-118,44:12:44:6e:f5:00,IllinoisNet
wap-0563-118,44:12:44:6e:f4:e1,eduroam
wap-0563-118,44:12:44:6e:f4:e2,IllinoisNet_Guest
wap-0563-118,44:12:44:6e:f4:e0,IllinoisNet
wap-0563-119,44:12:44:6d:1e:01,eduroam
wap-0563-119,44:12:44:6d:1e:02,IllinoisNet_Guest
wap-0563-119,44:12:44:6d:1e:00,IllinoisNet
wap-0563-119,44:12:44:6d:1d:e0,IllinoisNet
wap-0563-119,44:12:44:6d:1d:e1,eduroam
wap-0563-119,44:12:44:6d:1d:e2,IllinoisNet_Guest
wap-0563-120,44:12:44:6e:a1:92,IllinoisNet_Guest
wap-0563-120,44:12:44:6e:a1:91,eduroam
wap-0563-120,44:12:44:6e:a1:90,IllinoisNet
wap-0563-120,44:12:44:6e:a1:72,IllinoisNet_Guest
wap-0563-120,44:12:44:6e:a1:71,eduroam
wap-0563-120,44:12:44:6e:a1:70,IllinoisNet
wap-0563-121,44:12:44:6c:77:20,IllinoisNet
wap-0563-121,44:12:44:6c:77:22,IllinoisNet_Guest
wap-0563-121,44:12:44:6c:77:21,eduroam
wap-0563-121,44:12:44:6c:77:02,IllinoisNet_Guest
wap-0563-121,44:12:44:6c:77:01,eduroam
wap-0563-121,44:12:44:6c:77:00,IllinoisNet
wap-0563-122,44:12:44:6b:00:51,eduroam
wap-0563-122,44:12:44:6b:00:52,IllinoisNet_Guest
wap-0563-122,44:12:44:6b:00:50,IllinoisNet
wap-0563-122,44:12:44:6b:00:30,IllinoisNet
wap-0563-122,44:12:44:6b:00:32,IllinoisNet_Guest
wap-0563-122,44:12:44:6b:00:31,eduroam
wap-0563-123,44:12:44:6a:69:02,IllinoisNet_Guest
wap-0563-123,44:12:44:6a:69:01,eduroam
wap-0563-123,44:12:44:6a:69:00,IllinoisNet
wap-0563-123,44:12:44:6a:68:e2,IllinoisNet_Guest
wap-0563-123,44:12:44:6a:68:e1,eduroam
wap-0563-123,44:12:44:6a:68:e0,IllinoisNet
wap-0563-124,44:12:44:6a:b0:12,IllinoisNet_Guest
wap-0563-124,44:12:44:6a:b0:11,eduroam
wap-0563-124,44:12:44:6a:b0:10,IllinoisNet
wap-0563-124,44:12:44:6a:af:f2,IllinoisNet_Guest
wap-0563-124,44:12:44:6a:af:f1,eduroam
wap-0563-124,44:12:44:6a:af:f0,IllinoisNet
wap-0563-125,44:12:44:6c:1f:c2,IllinoisNet_Guest
wap-0563-125,44:12:44:6c:1f:c1,eduroam
wap-0563-125,44:12:44:6c:1f:c0,IllinoisNet
wap-0563-125,44:12:44:6c:1f:a2,IllinoisNet_Guest
wap-0563-125,44:12:44:6c:1f:a1,eduroam
wap-0563-125,44:12:44:6c:1f:a0,IllinoisNet
wap-0563-126,44:12:44:6c:c5:80,IllinoisNet
wap-0563-126,44:12:44:6c:c5:82,IllinoisNet_Guest
wap-0563-126,44:12:44:6c:c5:81,eduroam
wap-0563-126,44:12:44:6c:c5:62,IllinoisNet_Guest
wap-0563-126,44:12:44:6c:c5:61,eduroam
wap-0563-126,44:12:44:6c:c5:60,IllinoisNet
wap-0563-127,44:12:44:6b:5d:e2,IllinoisNet_Guest
wap-0563-127,44:12:44:6b:5d:e1,eduroam
wap-0563-127,44:12:44:6b:5d:e0,IllinoisNet
wap-0563-127,44:12:44:6b:5d:c2,IllinoisNet_Guest
wap-0563-127,44:12:44:6b:5d:c1,eduroam
wap-0563-127,44:12:44:6b:5d:c0,IllinoisNet
wap-0563-128,44:12:44:6c:09:e1,eduroam
wap-0563-128,44:12:44:6c:09:e0,IllinoisNet
wap-0563-128,44:12:44:6c:09:e2,IllinoisNet_Guest
wap-0563-128,44:12:44:6c:0a:01 ,eduroam
wap-0563-128,44:12:44:6c:0a:00,IllinoisNet
wap-0563-128,44:12:44:6c:0a:02,IllinoisNet_Guest
wap-0563-129,44:12:44:6b:03:50,IllinoisNet
wap-0563-129,44:12:44:6b:03:51,eduroam
wap-0563-129,44:12:44:6b:03:52,IllinoisNet_Guest
wap-0563-129,44:12:44:6b:03:30,IllinoisNet
wap-0563-129,44:12:44:6b:03:31,eduroam
wap-0563-129,44:12:44:6b:03:32,IllinoisNet_Guest
wap-0563-130,44:12:44:6d:c5:70,IllinoisNet
wap-0563-130,44:12:44:6d:c5:72,IllinoisNet_Guest
wap-0563-130,44:12:44:6d:c5:71,eduroam
wap-0563-130,44:12:44:6d:c5:51,eduroam
wap-0563-130,44:12:44:6d:c5:52,IllinoisNet_Guest
wap-0563-130,44:12:44:6d:c5:50,IllinoisNet
wap-0563-131,44:12:44:69:76:00,IllinoisNet
wap-0563-131,44:12:44:69:76:01,eduroam
wap-0563-131,44:12:44:69:76:02,IllinoisNet_Guest
wap-0563-131,44:12:44:69:75:e2,IllinoisNet_Guest
wap-0563-131,44:12:44:69:75:e1,eduroam
wap-0563-131,44:12:44:69:75:e0,IllinoisNet
wap-0563-132,44:12:44:6a:4c:e0,IllinoisNet
wap-0563-132,44:12:44:6a:4c:e2,IllinoisNet_Guest
wap-0563-132,44:12:44:6a:4c:e1,eduroam
wap-0563-132,44:12:44:6a:4c:c0,IllinoisNet
wap-0563-132,44:12:44:6a:4c:c2,IllinoisNet_Guest
wap-0563-132,44:12:44:6a:4c:c1,eduroam
wap-0563-133,44:12:44:6b:8c:91,eduroam
wap-0563-133,44:12:44:6b:8c:92,IllinoisNet_Guest
wap-0563-133,44:12:44:6b:8c:90,IllinoisNet
wap-0563-133,44:12:44:6b:8c:72,IllinoisNet_Guest
wap-0563-133,44:12:44:6b:8c:71,eduroam
wap-0563-133,44:12:44:6b:8c:70,IllinoisNet
wap-0563-134,44:12:44:6b:63:52,IllinoisNet_Guest
wap-0563-134,44:12:44:6b:63:51,eduroam
wap-0563-134,44:12:44:6b:63:50,IllinoisNet
wap-0563-134,44:12:44:6b:63:30,IllinoisNet
wap-0563-134,44:12:44:6b:63:32,IllinoisNet_Guest
wap-0563-134,44:12:44:6b:63:31,eduroam
wap-0563-135,44:12:44:6b:db:b0,IllinoisNet
wap-0563-135,44:12:44:6b:db:b2,IllinoisNet_Guest
wap-0563-135,44:12:44:6b:db:b1,eduroam
wap-0563-135,44:12:44:6b:db:92,IllinoisNet_Guest
wap-0563-135,44:12:44:6b:db:90,IllinoisNet
wap-0563-135,44:12:44:6b:db:91,eduroam
wap-0563-99,44:12:44:6b:ef:f1,eduroam
wap-0563-99,44:12:44:6b:ef:f2,IllinoisNet_Guest
wap-0563-99,44:12:44:6b:ef:f0,IllinoisNet
wap-0563-99,44:12:44:6b:ef:d2,IllinoisNet_Guest
wap-0563-99,44:12:44:6b:ef:d1,eduroam
wap-0563-99,44:12:44:6b:ef:d0,IllinoisNet
